"NO.","FUNC","DATA","UNIT","TIME"
100,"TYPE T","OL/103.8","K","2024/10/25\12:31:58"
101,"TYPE T","OL/103.8","K","2024/10/25\12:31:58"
102,"TYPE T","OL/103.8","K","2024/10/25\12:31:59"
103,"TYPE T","OL/103.7","K","2024/10/25\12:31:59"
104,"TYPE T","OL/103.7","K","2024/10/25\12:32:00"
105,"TYPE T","OL/103.7","K","2024/10/25\12:32:01"
106,"TYPE T","OL/103.7","K","2024/10/25\12:32:01"
107,"TYPE T","OL/103.6","K","2024/10/25\12:32:02"
108,"TYPE T","OL/103.6","K","2024/10/25\12:32:02"
109,"TYPE T","OL/103.5","K","2024/10/25\12:32:03"
110,"TYPE T","OL/103.6","K","2024/10/25\12:32:04"
111,"TYPE T","OL/103.5","K","2024/10/25\12:32:04"
112,"TYPE T","OL/103.4","K","2024/10/25\12:32:05"
113,"TYPE T","OL/103.4","K","2024/10/25\12:32:05"
114,"TYPE T","OL/103.4","K","2024/10/25\12:32:06"
115,"TYPE T","OL/103.4","K","2024/10/25\12:32:07"
116,"TYPE T","OL/103.4","K","2024/10/25\12:32:07"
117,"TYPE T","OL/103.4","K","2024/10/25\12:32:08"
118,"TYPE T","OL/103.4","K","2024/10/25\12:32:08"
119,"TYPE T","OL/103.3","K","2024/10/25\12:32:09"
120,"TYPE T","OL/103.3","K","2024/10/25\12:32:10"
121,"TYPE T","OL/103.3","K","2024/10/25\12:32:10"
122,"TYPE T","OL/103.3","K","2024/10/25\12:32:11"
123,"TYPE T","OL/103.3","K","2024/10/25\12:32:11"
124,"TYPE T","OL/103.2","K","2024/10/25\12:32:12"
125,"TYPE T","OL/103.2","K","2024/10/25\12:32:13"
126,"TYPE T","OL/103.1","K","2024/10/25\12:32:13"
127,"TYPE T","OL/103.2","K","2024/10/25\12:32:14"
128,"TYPE T","OL/103.2","K","2024/10/25\12:32:14"
129,"TYPE T","OL/103.2","K","2024/10/25\12:32:15"
130,"TYPE T","OL/103.2","K","2024/10/25\12:32:15"
131,"TYPE T","OL/103.2","K","2024/10/25\12:32:16"
132,"TYPE T","OL/103.1","K","2024/10/25\12:32:17"
133,"TYPE T","OL/103.1","K","2024/10/25\12:32:17"
134,"TYPE T","OL/103.1","K","2024/10/25\12:32:18"
135,"TYPE T","OL/103.0","K","2024/10/25\12:32:18"
136,"TYPE T","OL/103.0","K","2024/10/25\12:32:19"
137,"TYPE T","OL/103.0","K","2024/10/25\12:32:20"
138,"TYPE T","OL/102.9","K","2024/10/25\12:32:20"
139,"TYPE T","OL/102.9","K","2024/10/25\12:32:21"
140,"TYPE T","OL/102.8","K","2024/10/25\12:32:21"
141,"TYPE T","OL/102.8","K","2024/10/25\12:32:22"
142,"TYPE T","OL/102.8","K","2024/10/25\12:32:23"
143,"TYPE T","OL/102.8","K","2024/10/25\12:32:23"
144,"TYPE T","OL/102.8","K","2024/10/25\12:32:24"
145,"TYPE T","OL/102.8","K","2024/10/25\12:32:24"
146,"TYPE T","OL/102.7","K","2024/10/25\12:32:25"
147,"TYPE T","OL/102.7","K","2024/10/25\12:32:26"
148,"TYPE T","OL/102.7","K","2024/10/25\12:32:26"
149,"TYPE T","OL/102.7","K","2024/10/25\12:32:27"
150,"TYPE T","OL/102.7","K","2024/10/25\12:32:27"
151,"TYPE T","OL/102.7","K","2024/10/25\12:32:28"
152,"TYPE T","OL/102.7","K","2024/10/25\12:32:29"
153,"TYPE T","OL/102.6","K","2024/10/25\12:32:29"
154,"TYPE T","OL/102.6","K","2024/10/25\12:32:30"
155,"TYPE T","OL/102.6","K","2024/10/25\12:32:30"
156,"TYPE T","OL/102.6","K","2024/10/25\12:32:31"
157,"TYPE T","OL/102.5","K","2024/10/25\12:32:32"
158,"TYPE T","OL/102.5","K","2024/10/25\12:32:32"
159,"TYPE T","OL/102.5","K","2024/10/25\12:32:33"
160,"TYPE T","OL/102.5","K","2024/10/25\12:32:33"
161,"TYPE T","OL/102.4","K","2024/10/25\12:32:34"
162,"TYPE T","OL/102.4","K","2024/10/25\12:32:35"
163,"TYPE T","OL/102.4","K","2024/10/25\12:32:35"
164,"TYPE T","OL/102.4","K","2024/10/25\12:32:36"
165,"TYPE T","OL/102.4","K","2024/10/25\12:32:36"
166,"TYPE T","OL/102.3","K","2024/10/25\12:32:37"
167,"TYPE T","OL/102.3","K","2024/10/25\12:32:37"
168,"TYPE T","OL/102.3","K","2024/10/25\12:32:38"
169,"TYPE T","OL/102.3","K","2024/10/25\12:32:39"
170,"TYPE T","OL/102.2","K","2024/10/25\12:32:39"
171,"TYPE T","OL/102.2","K","2024/10/25\12:32:40"
172,"TYPE T","OL/102.1","K","2024/10/25\12:32:40"
173,"TYPE T","OL/102.1","K","2024/10/25\12:32:41"
174,"TYPE T","OL/102.1","K","2024/10/25\12:32:42"
175,"TYPE T","OL/102.1","K","2024/10/25\12:32:42"
176,"TYPE T","OL/102.1","K","2024/10/25\12:32:43"
177,"TYPE T","OL/102.0","K","2024/10/25\12:32:43"
178,"TYPE T","OL/102.1","K","2024/10/25\12:32:44"
179,"TYPE T","OL/102.1","K","2024/10/25\12:32:45"
180,"TYPE T","OL/102.1","K","2024/10/25\12:32:45"
181,"TYPE T","OL/102.0","K","2024/10/25\12:32:46"
182,"TYPE T","OL/102.0","K","2024/10/25\12:32:46"
183,"TYPE T","OL/102.0","K","2024/10/25\12:32:47"
184,"TYPE T","OL/102.1","K","2024/10/25\12:32:48"
185,"TYPE T","OL/102.0","K","2024/10/25\12:32:48"
186,"TYPE T","OL/102.0","K","2024/10/25\12:32:49"
187,"TYPE T","OL/102.0","K","2024/10/25\12:32:49"
188,"TYPE T","OL/102.0","K","2024/10/25\12:32:50"
189,"TYPE T","OL/101.9","K","2024/10/25\12:32:51"
190,"TYPE T","OL/101.9","K","2024/10/25\12:32:51"
191,"TYPE T","OL/101.8","K","2024/10/25\12:32:52"
192,"TYPE T","OL/101.8","K","2024/10/25\12:32:52"
193,"TYPE T","OL/101.8","K","2024/10/25\12:32:53"
194,"TYPE T","OL/101.8","K","2024/10/25\12:32:54"
195,"TYPE T","OL/101.7","K","2024/10/25\12:32:54"
196,"TYPE T","OL/101.7","K","2024/10/25\12:32:55"
197,"TYPE T","OL/101.6","K","2024/10/25\12:32:55"
198,"TYPE T","OL/101.6","K","2024/10/25\12:32:56"
199,"TYPE T","OL/101.6","K","2024/10/25\12:32:57"
200,"TYPE T","OL/101.6","K","2024/10/25\12:32:57"
201,"TYPE T","OL/101.7","K","2024/10/25\12:32:58"
202,"TYPE T","OL/101.7","K","2024/10/25\12:32:58"
203,"TYPE T","OL/101.6","K","2024/10/25\12:32:59"
204,"TYPE T","OL/101.6","K","2024/10/25\12:32:59"
205,"TYPE T","OL/101.5","K","2024/10/25\12:33:00"
