2024-10-25,12:39:36,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
7.2757900000e-09,-4.7292800000e-09,8.6778000000e-09,-3.3024000000e+01,5.7612000000e+04,6.8270000000e-09,-6.1757900000e-09,-5.7950800000e-09,8.2662000000e-09,-1.3605900000e+02,8.2536900000e-09,4.7061100000e-10,7.8817200000e-09,4.7810000000e+00,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0830000000e+00
-4.4607400000e-09,4.1145700000e-09,6.0696800000e-09,1.3731200000e+02,5.7612000000e+04,7.0839700000e-09,4.6939900000e-09,3.4937700000e-09,5.8527100000e-09,4.0850000000e+01,-5.6627200000e-09,-1.6683800000e-11,5.3728700000e-09,-1.7073600000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.1141500000e-09,-1.6760200000e-08,1.6797200000e-08,-9.3432000000e+01,5.7612000000e+04,6.1271000000e-09,-1.5753900000e-08,5.1146900000e-09,1.6084000000e-08,1.6269000000e+02,8.5274000000e-09,-1.3638700000e-08,1.5837100000e-08,-5.7680000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-6.9633100000e-09,3.2740400000e-10,6.9711800000e-09,1.7730800000e+02,5.7612000000e+04,5.0272100000e-09,2.3106800000e-09,6.8489300000e-09,7.2283900000e-09,7.0000000000e+01,-6.5350000000e-09,-3.6698000000e-09,7.7694800000e-09,-1.5202400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-1.2172400000e-08,-6.8291500000e-09,1.3957300000e-08,-1.5002000000e+02,5.7612000000e+04,5.1116100000e-09,-3.7448200000e-09,1.3644100000e-08,1.4200900000e-08,1.0609700000e+02,-5.7050400000e-09,-1.3252800000e-08,1.4428600000e-08,-1.1266100000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
1.8963000000e-08,-2.0780300000e-10,1.8964100000e-08,-6.2800000000e-01,5.7612000000e+04,5.4770800000e-09,-4.8217200000e-09,-1.8173600000e-08,1.8802400000e-08,-1.0455400000e+02,1.5300800000e-08,1.0623200000e-08,1.8235800000e-08,3.5357000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
2.0527600000e-08,-2.5795600000e-09,2.0689100000e-08,-7.1620000000e+00,5.7612000000e+04,5.4556500000e-09,-7.7523500000e-09,-1.9414400000e-08,2.0905000000e-08,-1.1179600000e+02,1.8716300000e-08,9.7547500000e-09,2.1292400000e-08,2.7515000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-4.1901400000e-10,-6.8145800000e-09,6.8276000000e-09,-9.3519000000e+01,5.7612000000e+04,5.3493300000e-09,-6.4765600000e-09,2.2784700000e-09,6.9317800000e-09,1.5816600000e+02,3.2008200000e-09,-6.1487400000e-09,6.9574000000e-09,-6.3628000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0820000000e+00
2.1978000000e-09,-1.0174900000e-08,1.0409600000e-08,-7.8318000000e+01,5.7612000000e+04,5.3538800000e-09,-1.0387300000e-08,6.6763100000e-10,1.0347700000e-08,1.7630100000e+02,7.3953200000e-09,-7.2449900000e-09,1.0301200000e-08,-4.4694000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-6.8601500000e-09,5.0935600000e-09,8.5444700000e-09,1.4340700000e+02,5.7612000000e+04,4.9548500000e-09,6.7622300000e-09,5.2448600000e-09,8.5579500000e-09,3.5525000000e+01,-8.5710900000e-09,7.7229800000e-10,8.6404600000e-09,1.7366000000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
