"NO.","FUNC","DATA","UNIT","TIME"
1,"TYPE T","OL/93.4","K","2024/10/25\12:39:41"
2,"TYPE T","OL/93.4","K","2024/10/25\12:39:42"
3,"TYPE T","OL/93.4","K","2024/10/25\12:39:42"
4,"TYPE T","OL/93.4","K","2024/10/25\12:39:43"
5,"TYPE T","OL/93.4","K","2024/10/25\12:39:43"
6,"TYPE T","OL/93.4","K","2024/10/25\12:39:44"
7,"TYPE T","OL/93.4","K","2024/10/25\12:39:45"
8,"TYPE T","OL/93.4","K","2024/10/25\12:39:45"
9,"TYPE T","OL/93.4","K","2024/10/25\12:39:46"
10,"TYPE T","OL/93.4","K","2024/10/25\12:39:46"
11,"TYPE T","OL/93.3","K","2024/10/25\12:39:47"
12,"TYPE T","OL/93.3","K","2024/10/25\12:39:48"
13,"TYPE T","OL/93.3","K","2024/10/25\12:39:48"
14,"TYPE T","OL/93.3","K","2024/10/25\12:39:49"
15,"TYPE T","OL/93.3","K","2024/10/25\12:39:49"
16,"TYPE T","OL/93.3","K","2024/10/25\12:39:50"
17,"TYPE T","OL/93.3","K","2024/10/25\12:39:51"
18,"TYPE T","OL/93.3","K","2024/10/25\12:39:51"
19,"TYPE T","OL/93.3","K","2024/10/25\12:39:52"
20,"TYPE T","OL/93.3","K","2024/10/25\12:39:52"
21,"TYPE T","OL/93.3","K","2024/10/25\12:39:53"
22,"TYPE T","OL/93.3","K","2024/10/25\12:39:54"
23,"TYPE T","OL/93.3","K","2024/10/25\12:39:54"
24,"TYPE T","OL/93.3","K","2024/10/25\12:39:55"
25,"TYPE T","OL/93.2","K","2024/10/25\12:39:55"
26,"TYPE T","OL/93.2","K","2024/10/25\12:39:56"
27,"TYPE T","OL/93.2","K","2024/10/25\12:39:57"
28,"TYPE T","OL/93.2","K","2024/10/25\12:39:57"
29,"TYPE T","OL/93.2","K","2024/10/25\12:39:58"
30,"TYPE T","OL/93.2","K","2024/10/25\12:39:58"
31,"TYPE T","OL/93.1","K","2024/10/25\12:39:59"
32,"TYPE T","OL/93.1","K","2024/10/25\12:40:00"
33,"TYPE T","OL/93.1","K","2024/10/25\12:40:00"
34,"TYPE T","OL/93.1","K","2024/10/25\12:40:01"
35,"TYPE T","OL/93.1","K","2024/10/25\12:40:01"
36,"TYPE T","OL/93.2","K","2024/10/25\12:40:02"
37,"TYPE T","OL/93.2","K","2024/10/25\12:40:03"
38,"TYPE T","OL/93.1","K","2024/10/25\12:40:03"
39,"TYPE T","OL/93.1","K","2024/10/25\12:40:04"
40,"TYPE T","OL/93.1","K","2024/10/25\12:40:04"
41,"TYPE T","OL/93.1","K","2024/10/25\12:40:05"
42,"TYPE T","OL/93.1","K","2024/10/25\12:40:05"
43,"TYPE T","OL/93.1","K","2024/10/25\12:40:06"
44,"TYPE T","OL/93.0","K","2024/10/25\12:40:07"
45,"TYPE T","OL/93.0","K","2024/10/25\12:40:07"
46,"TYPE T","OL/93.0","K","2024/10/25\12:40:08"
47,"TYPE T","OL/93.0","K","2024/10/25\12:40:08"
48,"TYPE T","OL/93.0","K","2024/10/25\12:40:09"
49,"TYPE T","OL/93.1","K","2024/10/25\12:40:10"
50,"TYPE T","OL/93.1","K","2024/10/25\12:40:10"
51,"TYPE T","OL/93.0","K","2024/10/25\12:40:11"
52,"TYPE T","OL/93.0","K","2024/10/25\12:40:11"
53,"TYPE T","OL/93.0","K","2024/10/25\12:40:12"
54,"TYPE T","OL/93.0","K","2024/10/25\12:40:13"
55,"TYPE T","OL/93.0","K","2024/10/25\12:40:13"
56,"TYPE T","OL/93.0","K","2024/10/25\12:40:14"
57,"TYPE T","OL/93.0","K","2024/10/25\12:40:14"
58,"TYPE T","OL/93.0","K","2024/10/25\12:40:15"
59,"TYPE T","OL/93.0","K","2024/10/25\12:40:16"
60,"TYPE T","OL/92.9","K","2024/10/25\12:40:16"
61,"TYPE T","OL/92.9","K","2024/10/25\12:40:17"
62,"TYPE T","OL/92.9","K","2024/10/25\12:40:17"
63,"TYPE T","OL/92.9","K","2024/10/25\12:40:18"
64,"TYPE T","OL/92.9","K","2024/10/25\12:40:19"
65,"TYPE T","OL/92.9","K","2024/10/25\12:40:19"
66,"TYPE T","OL/92.9","K","2024/10/25\12:40:20"
67,"TYPE T","OL/92.9","K","2024/10/25\12:40:20"
68,"TYPE T","OL/92.9","K","2024/10/25\12:40:21"
69,"TYPE T","OL/92.9","K","2024/10/25\12:40:22"
70,"TYPE T","OL/92.9","K","2024/10/25\12:40:22"
71,"TYPE T","OL/92.9","K","2024/10/25\12:40:23"
72,"TYPE T","OL/92.9","K","2024/10/25\12:40:23"
73,"TYPE T","OL/92.9","K","2024/10/25\12:40:24"
74,"TYPE T","OL/92.8","K","2024/10/25\12:40:24"
75,"TYPE T","OL/92.8","K","2024/10/25\12:40:25"
76,"TYPE T","OL/92.8","K","2024/10/25\12:40:26"
77,"TYPE T","OL/92.8","K","2024/10/25\12:40:26"
78,"TYPE T","OL/92.8","K","2024/10/25\12:40:27"
79,"TYPE T","OL/92.8","K","2024/10/25\12:40:27"
80,"TYPE T","OL/92.7","K","2024/10/25\12:40:28"
