"NO.","FUNC","DATA","UNIT","TIME"
100,"TYPE T","OL/300.4","K","2024/10/25\9:08:38"
101,"TYPE T","OL/300.4","K","2024/10/25\9:08:39"
102,"TYPE T","OL/300.4","K","2024/10/25\9:08:40"
103,"TYPE T","OL/300.4","K","2024/10/25\9:08:40"
104,"TYPE T","OL/300.4","K","2024/10/25\9:08:41"
105,"TYPE T","OL/300.4","K","2024/10/25\9:08:41"
106,"TYPE T","OL/300.4","K","2024/10/25\9:08:42"
107,"TYPE T","OL/300.3","K","2024/10/25\9:08:43"
108,"TYPE T","OL/300.3","K","2024/10/25\9:08:43"
109,"TYPE T","OL/300.3","K","2024/10/25\9:08:44"
110,"TYPE T","OL/300.3","K","2024/10/25\9:08:44"
111,"TYPE T","OL/300.3","K","2024/10/25\9:08:45"
112,"TYPE T","OL/300.3","K","2024/10/25\9:08:45"
113,"TYPE T","OL/300.3","K","2024/10/25\9:08:46"
114,"TYPE T","OL/300.4","K","2024/10/25\9:08:47"
115,"TYPE T","OL/300.4","K","2024/10/25\9:08:47"
116,"TYPE T","OL/300.3","K","2024/10/25\9:08:48"
117,"TYPE T","OL/300.3","K","2024/10/25\9:08:48"
118,"TYPE T","OL/300.3","K","2024/10/25\9:08:49"
119,"TYPE T","OL/300.3","K","2024/10/25\9:08:50"
120,"TYPE T","OL/300.3","K","2024/10/25\9:08:50"
121,"TYPE T","OL/300.3","K","2024/10/25\9:08:51"
122,"TYPE T","OL/300.3","K","2024/10/25\9:08:51"
123,"TYPE T","OL/300.3","K","2024/10/25\9:08:52"
124,"TYPE T","OL/300.3","K","2024/10/25\9:08:53"
125,"TYPE T","OL/300.3","K","2024/10/25\9:08:53"
126,"TYPE T","OL/300.3","K","2024/10/25\9:08:54"
127,"TYPE T","OL/300.4","K","2024/10/25\9:08:54"
128,"TYPE T","OL/300.4","K","2024/10/25\9:08:55"
129,"TYPE T","OL/300.4","K","2024/10/25\9:08:55"
130,"TYPE T","OL/300.4","K","2024/10/25\9:08:56"
131,"TYPE T","OL/300.4","K","2024/10/25\9:08:57"
132,"TYPE T","OL/300.4","K","2024/10/25\9:08:57"
133,"TYPE T","OL/300.4","K","2024/10/25\9:08:58"
134,"TYPE T","OL/300.4","K","2024/10/25\9:08:58"
135,"TYPE T","OL/300.4","K","2024/10/25\9:08:59"
136,"TYPE T","OL/300.4","K","2024/10/25\9:09:00"
137,"TYPE T","OL/300.4","K","2024/10/25\9:09:00"
138,"TYPE T","OL/300.4","K","2024/10/25\9:09:01"
139,"TYPE T","OL/300.4","K","2024/10/25\9:09:01"
140,"TYPE T","OL/300.4","K","2024/10/25\9:09:02"
141,"TYPE T","OL/300.4","K","2024/10/25\9:09:03"
142,"TYPE T","OL/300.4","K","2024/10/25\9:09:03"
