2024-10-25,11:42:59,Sample Rate(S):,0.500
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-2.4357300000e-08,1.2197800000e-08,2.7241100000e-08,1.5247300000e+02,5.7612000000e+04,6.3747200000e-09,2.5987900000e-08,-8.3523500000e-09,2.7457000000e-08,-1.9060000000e+01,-1.1308200000e-08,2.5413700000e-08,2.7578800000e-08,1.1285100000e+02,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0830000000e+00
3.2505400000e-09,2.0593700000e-08,2.0849200000e-08,8.1030000000e+01,5.7612000000e+04,6.2973700000e-09,7.9984400000e-10,-2.1080000000e-08,2.1095700000e-08,-8.4590000000e+01,1.4017900000e-08,1.6008100000e-08,2.1317900000e-08,5.1017000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-4.6944400000e-09,2.8926800000e-08,2.9305900000e-08,9.9218000000e+01,5.7612000000e+04,5.8909600000e-09,9.4497700000e-09,-2.9564400000e-08,3.1038400000e-08,-7.3057000000e+01,1.6100100000e-08,2.8256300000e-08,3.3643700000e-08,5.9996000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-3.8261200000e-09,-1.4989700000e-08,1.5479100000e-08,-1.0431900000e+02,5.7612000000e+04,6.4114000000e-09,5.3917700000e-09,1.8217300000e-08,2.0921500000e-08,6.9193000000e+01,-1.9317200000e-08,-8.0302600000e-09,2.2877600000e-08,-1.6089700000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
1.6529000000e-08,5.2620000000e-08,5.5157200000e-08,7.2562000000e+01,5.7612000000e+04,6.1076000000e-09,-8.8357000000e-09,-5.3542200000e-08,5.4267900000e-08,-1.0071700000e+02,4.4973000000e-08,2.8831400000e-08,5.2593800000e-08,3.1608000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-1.2199100000e-08,1.5520500000e-08,1.9749600000e-08,1.3382600000e+02,5.7612000000e+04,5.6415200000e-09,1.6557800000e-08,-1.2238500000e-08,2.1743600000e-08,-3.1461000000e+01,-4.4893300000e-09,2.2863800000e-08,2.4263900000e-08,1.0953800000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.9442100000e-08,-6.3095000000e-09,2.0441300000e-08,-1.6202000000e+02,5.7612000000e+04,6.7999200000e-09,1.6299400000e-08,9.4352100000e-09,1.7223400000e-08,3.3309000000e+01,-1.6756800000e-08,3.9618400000e-09,1.3832800000e-08,1.7552200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.5375800000e-08,-6.5475400000e-09,1.6712800000e-08,-2.3066000000e+01,5.7612000000e+04,6.7595800000e-09,-1.7620800000e-08,4.9606300000e-09,1.8307300000e-08,1.6166900000e+02,8.4812000000e-09,-1.8144500000e-08,2.1884400000e-08,-6.7450000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-8.1593000000e-09,9.8021000000e-09,1.2753700000e-08,1.2998600000e+02,5.7612000000e+04,8.9550800000e-09,9.2772600000e-09,-7.8691000000e-09,1.1718800000e-08,-4.0503000000e+01,-5.8633200000e-10,1.1482500000e-08,1.1495000000e-08,9.2671000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.5087900000e-08,4.9666200000e-09,1.5884300000e-08,1.8220000000e+01,5.7612000000e+04,9.5211800000e-09,-1.3751100000e-08,-7.3318400000e-09,1.4516100000e-08,-1.5180700000e+02,1.3774300000e-08,-4.1234000000e-09,1.3645100000e-08,-1.7590000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.2995600000e-09,-2.1148500000e-08,2.1191100000e-08,-7.9086000000e+01,5.7612000000e+04,7.3709900000e-09,-6.6729000000e-09,1.7738900000e-08,1.7548500000e-08,1.1480600000e+02,-6.5178600000e-09,-1.6287000000e-08,1.5981400000e-08,-1.0749700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
5.9466700000e-08,-2.5596700000e-08,6.4741600000e-08,-2.3289000000e+01,5.7612000000e+04,8.0455000000e-09,-6.0593500000e-08,1.4457900000e-08,5.9744700000e-08,1.6669400000e+02,2.9940100000e-08,-5.1699700000e-08,5.4625600000e-08,-5.9864000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
1.6921600000e-08,-5.5726300000e-08,5.8239300000e-08,-7.3109000000e+01,5.7612000000e+04,7.2589300000e-09,-2.6953400000e-08,5.2197800000e-08,5.9150200000e-08,1.1776800000e+02,-1.9114100000e-08,-5.5975300000e-08,5.9376300000e-08,-1.0855700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.6407900000e-08,1.7550300000e-08,2.4030100000e-08,4.6927000000e+01,5.7612000000e+04,8.3849700000e-09,-1.5332800000e-08,-2.0519600000e-08,2.5618400000e-08,-1.2947200000e+02,2.7253100000e-08,1.8639600000e-09,3.1057500000e-08,-2.4300000000e-01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-8.8134600000e-09,-7.8887900000e-10,8.8551700000e-09,-1.7488500000e+02,5.7612000000e+04,8.5905200000e-09,7.9862800000e-09,3.3054200000e-09,8.7577000000e-09,2.9519000000e+01,-8.3669600000e-09,2.5749700000e-09,9.0381700000e-09,1.6873200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
3.2454200000e-10,3.3162600000e-08,3.3164700000e-08,8.9439000000e+01,5.7612000000e+04,6.6613000000e-09,4.5770300000e-09,-3.3269000000e-08,3.3583300000e-08,-8.3743000000e+01,2.2052500000e-08,2.5948000000e-08,3.4549000000e-08,4.7942000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
2.1795600000e-08,2.0784700000e-08,3.0117400000e-08,4.3640000000e+01,5.7612000000e+04,6.8257700000e-09,-1.7731000000e-08,-2.4261700000e-08,3.0050400000e-08,-1.2560900000e+02,2.9578800000e-08,4.0370000000e-09,2.9387100000e-08,8.2950000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.1132200000e-08,-2.2863900000e-08,2.5432700000e-08,-6.0808000000e+01,5.7612000000e+04,6.9908700000e-09,-1.5921300000e-08,1.9734500000e-08,2.5533800000e-08,1.3719700000e+02,2.5715700000e-10,-2.5526100000e-08,2.6019300000e-08,-8.4939000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-2.3237900000e-08,-1.7264700000e-08,2.8949600000e-08,-1.4338900000e+02,5.7612000000e+04,7.9665700000e-09,2.0043200000e-08,2.0087200000e-08,2.8205400000e-08,4.4598000000e+01,-2.8189700000e-08,9.9437900000e-10,2.8157000000e-08,1.7762900000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
2.6830800000e-08,-2.3769200000e-09,2.6936000000e-08,-5.0630000000e+00,5.7612000000e+04,8.3497900000e-09,-2.5471100000e-08,-1.7674800000e-09,2.3869400000e-08,-1.7689800000e+02,1.7307600000e-08,-1.6435400000e-08,2.2020600000e-08,-4.4604000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
8.9810000000e-09,-6.6422700000e-10,9.0112000000e-09,-4.2300000000e+00,5.7612000000e+04,7.4167300000e-09,-8.1968700000e-09,3.1845400000e-10,8.2100700000e-09,1.6914400000e+02,4.0181800000e-09,-6.3024500000e-09,6.9281500000e-09,-6.7340000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
